Transcription,Phonetic IPA,IPA 2,Syllables,IPA (OLD),Meaning,Persian Meaning,Part of Speech,Form,Etymology,Cognates,Citations,Date,Notes,,,,,,
tʰāṛgo,tʰɔɽ.go,,2,t̪ʰɔ̀ːɽ.gô,"tall, long",,adjective,<f> tʰergi,Skt. dīrghá (CDIAL 6368),Sd. ḍigho,Anonby (taɽgo),"October 1, 2020",,,,,,"October 26, 2020",0
vazo,ʋa.zo,,2,vɜ̀.zôː,big,,adjective,,Skt. vaḍra (CDIAL 11225),Sd. vad̤o,Anonby (vazzo),"October 1, 2020",,,,,,,
ambe,am.be,,2,ã̀m.bêː,mother,,noun,,Skt. ambā́ (CDIAL 574),Sd. amā,,"October 2, 2020",,,,,,,
bāā,bɔ.ɔ,,2,bɔ̀ː.ɔ̂ː,father,,noun,,,,,"October 2, 2020",,,,,,"October 27, 2020",0
kozoro,ko.zo.ro,M: [ko̞.zo̞.ɾo̞],3,kʰò.zò.rôː,man,,noun,,"Skt. gārhya ""domestic""?","Dom. kaǧǧã, Rom. gaʒo",Anonby (kozoro),"October 2, 2020",,,,,,"October 28, 2020",0
mers,mers,,1,mɛ̂ːɾs,husband,,noun,,Skt. manuṣyà (CDIAL 9828),"Sd. maṛs, muṛs",,"October 2, 2020",,,,,,"October 29, 2020",0
miri,mi.ri,,2,mìː.ɾîˑ,wife,,noun,,Skt. mahilā́ (CDIAL 9962),Sd. mihirī,,"October 2, 2020",,,,,,"October 30, 2020",0
māv ~ mov,mɔw,M: [mow],1,mʌ̂u̯,mother (affectionate?),,noun,,Skt. mātŕ̥ (CDIAL 10016),,,"October 2, 2020",,,,,,"October 31, 2020",0
movāy,mo.ʋɔj,,2,mò.ʋʌ̂i̯,my mother,,noun,,Native māw + -oy?,,,"October 2, 2020",,,,,,"November 1, 2020",0
pu ~ pʰu,p(ʰ)u,M: [pʰu],1,pûː,father,,noun,,Skt. pitŕ̥ (CDIAL 8179),Sd. pīu,,"October 2, 2020",,,,,,"November 2, 2020",23
viyāv ~ viyov,ʋi.jɔʋ,M: [vi.jow],2,vī.jʌ̂u?,child; family (in plural?),,noun,,,,Anonby (viyow),"October 2, 2020",,,,,,"November 3, 2020",0
zayfā,zaj.fo,M: [zɜj.fɔ],2,zài̯.fɔ̂ː,woman,,noun,"<pl> zayfayu, <pl.obl> zayfen","? Arabic ḍayf-ah ""guest-f"", ẓaʻīfa(t) ""weak female""",,,"October 2, 2020",,,,,,"November 4, 2020",0
ambo,am.bo,,2,,mango,,noun,<pl.obl> amboyen,Skt. āmrá (CDIAL 1268),,,"October 3, 2020",,,,,,"November 5, 2020",0
heyvān,hej.ʋɔn,,2,hèj.ʋɒ̂ːn,animal,,noun,,Prs. heyvān,,,"October 3, 2020",,,,,,"November 6, 2020",0
jakojānvar,d͡ʒa.ko.d͡ʒɔn.ʋar,,4,d͡ʒằ.kŏ̀.d͡ʒɒ̀n.ʋâːɾ,animal,,noun,,Larestani reduplication of jānvar,,,"October 3, 2020",,,,,,"November 7, 2020",0
karčax,kar.t͡ʃax,,2,,knife,,noun,,Larestani karčax,,,"October 3, 2020",,,,,,"November 8, 2020",0
ke,ke,,1,,definite accusative; dative,,postposition,,Skt. kr̥tḗ (CDIAL 2184),Sd. khe,,"October 3, 2020",,,,,,"November 9, 2020",3
kotoro,ko.to.ro,"A: [ko̞.t̻o̞.ɾo̞], M: [ko.t̻o.ɾo]",3,kʰŏ́.t̪ó.ɾô,dog,,noun,,Skt. *kutta (CDIAL 3275),,,"October 3, 2020",,,,,,"November 10, 2020",26
mačʰi,ma.t͡ʃʰi,,2,má.t͡ʃʰî,fish,,noun,,Skt. mátsya (CDIAL 9758),,,"October 3, 2020",,,,,,"November 11, 2020",0
minibus,mi.ni.bus,,3,,bus,,noun,,Eng. minibus,,,"October 3, 2020",,,,,,"November 12, 2020",0
mā,mɔ,,1,,"at, in (locative)",,postposition,,Skt. mádhya (CDIAL 9804),Sd. mē̃,,"October 3, 2020",,,,,,"November 13, 2020",0
māl,mɔl,,1,mɒ̂ːɾ,animal,,noun,,,,,"October 3, 2020",Difficult to tell if l or tap r.,,,,,"November 14, 2020",0
moxoro,mo.xo.ro,,3,mŏ́.xó.ɾô,ant,,noun,,Skt. markaṭa (CDIAL 9883),,,"October 3, 2020",,,,,,"November 15, 2020",0
te,te,,1,,"to (allative), also stimulus; instrumental",,postposition,,Skt.,(Sd. equivalent khā̃),,"October 3, 2020",,,,,,"November 16, 2020",0
utubus,u.tu.bus,,3,,bus,,noun,,Eng. autobus,,,"October 3, 2020",,,,,,"November 17, 2020",0
drrose,do.ro.se,,3,dɾ̩.ɾó.sê,right (direction),,noun,,Prs. dorost,,,"October 4, 2020","Codeswitching? Also, instead of a syllabic alveolar tap, it may be that there is a very short unstressed vowel (surfacing as a schwa) in there.",,,,,"November 18, 2020",0
dur,dur,,1,"dûɾ, dûɽ",far,,adjective,,Prs. dur or Skt. dūrá (CDIAL 6495),,,"October 4, 2020",Example of the free variation between retroflex and alveolar r.,,,,,"November 19, 2020",2
nevalem(te),ne.ʋa.lem(.te),,4,nɛ́.ʋâ.lɛ̂m(.tê),bad,,adjective,,Native ne + valem(te),,,"October 4, 2020",,,,,,"November 20, 2020",0
nevalm,ne.ʋalm,,2,nɛ̀.ʋâlm,bad,,adjective,,Native ne + valm,,,"October 4, 2020",,,,,,"November 21, 2020",0
rāsta,rɔs.ta,,2,rɔ̀s.tâː,straight,,adjective,,Prs. rāsta,,,"October 4, 2020",,,,,,"November 22, 2020",0
sau,sa.u,,2,,one hundred,,numeral,,Skt. śatá (CDIAL 12278),,,"October 4, 2020",,,,,,"November 23, 2020",0
siđa,"si.za, si.ða",,4,"sìː.zâː, sìː.ðâː",straight,,adjective,,Skt. siddha (CDIAL 13401),,,"October 4, 2020",,,,,,"November 24, 2020",0
sāf,sɔf,,1,,all,,determiner,,Skt. sárva (CDIAL 13276),,,"October 4, 2020",,,,,,"November 25, 2020",0
too,to.o,,2,tòː.ôː,above,,adposition,,Skt.,Pa. te?,,"October 4, 2020",,,,,,"November 26, 2020",0
valem(te),ʋa.lem(.te),,3,vá.lɛ̂m(.tê),right (direction); good,,"noun, adjective",,Larestani valm,,,"October 4, 2020",,,,,,"November 27, 2020",0
valm,ʋalm,,1,vâːlm,right (direction); good,,"noun, adjective",,Larestani valm,,,"October 4, 2020",,,,,,"November 28, 2020",0
velkay,ʋel.kaj,,2,vɛ́l.kâi̯,left (direction),,noun,,,,,"October 4, 2020",,,,,,"November 29, 2020",0
vālo,ʋɔ.lo,,2,vɔ̀ː.l̪ô,below,,adposition,,,,,"October 4, 2020",,,,,,"November 30, 2020",0
vozo,vo.zo,,2,vòː.zô,near,,adposition,,Skt. ,Sd. vējhō,Anonby (vāzo),"October 4, 2020",,,,,,"December 1, 2020",0
balen?,ba.len,,2,,to run,,verb,,"Skt. válati (CDIAL 11405) ""to turn, speed towards""?","Sd. varaṇu ""to turn""",,"October 5, 2020",,,,,,"December 2, 2020",9
barg,barg,,1,bâːɾg,leaf,,noun,,Prs. barg,,Anonby (barg),"October 5, 2020",,,,,,"December 3, 2020",0
darpen?,dar.pen,,2,,to be afraid,,verb,,Skt. darati + MIA -pp- (CDIAL 6190),"H. ḍarapnā, G. ḍarapvũ",,"October 5, 2020",,,,,,"December 4, 2020",0
derax,de.rax,,2,dɛ̀.ɾâːx,tree,,noun,,Prs. deraxt,,,"October 5, 2020",,,,,,"December 5, 2020",0
dānen,dɔ.ne.maj,,3,dɔ̀ː.nɛ̆́.mâi̯,he knows,,verb,,Prs. dānestan,,,"October 5, 2020",,,,,,"December 6, 2020",0
dāno,dɔ.no,,2,dɔ̀ː.nô,seed,,noun,,Prs. dāne,,Anonby (dāno),"October 5, 2020",,,,,,"December 7, 2020",0
feker karen,fe.ker ke.re.maj,,5,fɛ́.kɛ̂ɾ kɛ̀.ɾɛ̀.mài̯,he thinks,,verb,,Prs. fekr kardan,Dom. fikr kar-,Anonby (feker kai),"October 5, 2020",,,,,,"December 8, 2020",0
gap čʰiyen,gap t͡ʃʰi.jen,,3,gáp.t͡ʃʰî.mâi̯,he talks,,verb,,Prs. gap zadan,,,"October 5, 2020",Or is it a geminated cc?,,,,,"December 9, 2020",13
jangal,d͡ʒaŋ.gal,,2,d͡ʒàŋ.gâːl,forest,,noun,,Prs. jangal or Skt. jāṅgala (CDIAL 5177),,,"October 5, 2020","Ahmed hesitated a lot before coming up with this word, so perhaps there's a Kholosi word that he couldn't remember?",,,,,"December 10, 2020",0
jolo,d͡ʒo.lo,,2,,front,,noun,,,,,"October 5, 2020","""in front of"" = ji jolo mā",,,,,"December 11, 2020",0
kerem,ke.rem,,2,kʰɛ́.ɾɛ̂m,worm,,noun,,Prs. kerm or Skt. kŕ̊mi (CDIAL 3438),,,"October 5, 2020",,,,,,"December 12, 2020",0
mēvo,me.ʋo,,2,mèː.ʋô,fruit,,noun,,Prs. mēva,Sd. mevā,,"October 5, 2020",,,,,,"December 13, 2020",0
penden,pen.den,,2,,to see,,verb,,,,,"October 5, 2020",,,,,,"December 14, 2020",0
petak,pe.tak,,2,pɛ̆̀.tâk,leaf,,noun,,Skt. páttra (CDIAL 7733)?,Sd. pāto,,"October 5, 2020",,,,,,"December 15, 2020",0
peti,pe.ti,,2,,behind,,postposition,,,,,"October 5, 2020",,,,,,"December 16, 2020",0
sap,sap,,1,sâp,snake,,noun,,Skt. sarpá (CDIAL 13271),Sd. sapu,Anonby (sap),"October 5, 2020",,,,,,"December 17, 2020",0
sere,se.re,,2,,village,,noun,,Prs. sere,,,"October 5, 2020",,,,,,"December 18, 2020",0
sohbat karen,sɔh.bat ka.ren,,4,sɔ̀.hɔ̀.bât kɛ̆̂.ɾɛ̆̂.mâi̯,he talks,,verb,,Prs. sohbat kardan,,,"October 5, 2020",,,,,,"December 19, 2020",0
sāxtemān,sɔx.te.mɔn,,3,,building,,noun,,Prs. sāxtemān,,,"October 5, 2020",,,,,,"December 20, 2020",0
tarix,ta.rix,,2,,angry,,adjective,,Prs. tarix,,,"October 5, 2020",,,,,,"December 21, 2020",0
tof karen,tof ka.ren,,3,tóf kɛ̆̂.ɾɛ̆̂.mâi̯,he spits,,verb,,Prs. tof kardan,,,"October 5, 2020",,,,,,"December 22, 2020",4
tāv,tɔʋ,,1,,"from (ablative), also some stimulus",,postposition,,Skt.,,,"October 5, 2020",,,,,,"December 23, 2020",0
vazile,ʋa.zi.le,,3,,in the morning,,adverb,,,,,"October 5, 2020",,,,,,"December 24, 2020",0
xob,xob,,1,xôːb,good,,adjective,,Prs. xūb,,,"October 5, 2020",,,,,,,
xāndiyen,xɔn.di.jen,,3,xɔ́n.dî.mâi̯,he smells,,verb,,"Prs. gandīdan ""to stink""?",,"<a href=""https://twitter.com/l_linguist/status/1313434915086753793"">Twitter</a>","October 5, 2020","It seems my informant misunderstood the sense of ""smell"" I asked about, need to ask the other one!",,,,,,
xārja,xɔr.d͡ʒa,,2,,outside,,preposition,,Prs. xārej,,,"October 5, 2020",,,,,,,
xāti,xɔ.ti,,2,xɔ̀.tî,"stick, wood",,noun,,Skt. kāṣṭhá (CDIAL 3120),Sd. kāṭh,,"October 5, 2020",Perhaps metathesis of the aspiration.,,,,,,
ax,ax,M: [äχ],1,âˑx,eye,,noun,,Skt. ákṣi (CDIAL 43),"Sd. akh(i), Thari ãkh",,"October 6, 2020",,,,,,,
buz,buz,,1,bûːz,"mouth, lip",,noun,,Arabic (dialectal) buz,"Sd. b̤uthu ""mouth""",,"October 6, 2020",,,,,,,
dand,dand,M: [dänd̻],1,,tooth,,noun,,Skt. dánta (CDIAL 6152),,,"October 6, 2020",,,,,,,
dem,dem,M: [d̻em],1,dɛ̂ːm,tongue,,noun,,,,,"October 6, 2020",,,,,,,
domāx,do.mɔx,M: [do.mɔːʁ],2,dɔ̀.mâːχ,nose,,noun,,"Prs. damāğ, Larestani domāg",,Anonby (domāġ),"October 6, 2020",,,,,,,
geči,ge.t͡ʃi,M: [ge̞t͡ʃi],2,gè.t͡ʃî,neck,,noun,,Skt. *gicca (CDIAL 4154),Kcch. giccī,Anonby (gēči),"October 6, 2020",,,,,,,
kallo,kal.lo,M: [käl.lo̞],2,kʰàl.lô,head,,noun,,Prs. kalle,,Anonby (kallo),"October 6, 2020",,,,,,,
kan,kan,M: [käːn],1,kʰã̂n,ear,,noun,,Skt. kárṇa (CDIAL 2830),Thari kan,Anonby (kān),"October 6, 2020",,,,,,,
loy,loj,M: [loj],1,,hair,,noun,,Skt. lṓman (CDIAL 11154),,,"October 6, 2020",,,,,,,
mato,ma.to,M: [mä.tʰo],2,mà.t̪ô,head,,noun,,Skt. mastaka (CDIAL 9926),Sd. matho,,"October 6, 2020",,,,,,,
mov,moʋ,,1,"mò.wô, mò.wôs",face,,noun,,Skt. múkha (CDIAL 10158),,,"October 6, 2020",,,,,,,
āvāro,ɔ.ʋɔ.ro,,3,,jaw,,noun,,,,,"October 6, 2020",,,,,,,
piško,piʃ.ko,,2,pĭ̀ʃ.kô,forehead,,noun,,from a derivative of Prs. pēš /piš/?,,,"October 6, 2020",,,,,,,
vāt,ʋɔt,M: [vɔːt],1,vɒ̂ːt,"mouth, lip",,noun,,Skt. vyā́tta (CDIAL 12196),Sd. vātu,Anonby (vāt),"October 6, 2020",,,,,,,
ao,a.o,,2,,back,,noun,,,,,"October 7, 2020",,,,,,,
bexal,be.xal,,2,,arm (incl. upper arm),بازو,noun,,Prs. baġal,,,"October 7, 2020",,,,,,,
kend,kend,,1,,knee,,noun,,Balochi kóndh? Skt. skandhá 'shoulder' (CDIAL 13627)? ,,,"October 7, 2020",,,,,,,
kāl,kɔl,,1,,yesterday,,adverb,,Skt. kālya (CDIAL 3104),,,"October 7, 2020",,,,,,,
marse,mar.se,,2,,school,,noun,,Prs. madrese,,,"October 7, 2020",,,,,,,
meda,me.da,,2,,stomach,,noun,,Prs. me'de,,,"October 7, 2020",,,,,,,
āngul,ɔŋ.gul,M: [ɔ̃ːŋ.gʊl],2,,finger,,noun,,Skt. aṅgula (CDIAL 134),,,"October 7, 2020",,,,,,,
ārak,ɔ.rak,M: [ɔː.ɽak ~ ɔː.ɻak],2,,elbow,,noun,,Skt. aratnika (CDIAL 603),Sd. irika,,"October 7, 2020",,,,,,,
pay,paj,,1,,foot,,noun,,Skt. padá (CDIAL 7747),,,"October 7, 2020",,,,,,,
pāyo,pɔ.jo,,2,,leg,,noun,,Skt. padá (CDIAL 7747),,,"October 7, 2020",,,,,,,
sabā,sa.bɔ,,2,,tomorrow,,adverb,,Larestani,"Luri sabo, but note Sd. subhā̃",,"October 7, 2020",,,,,,,
sino,si.no,,2,,chest,,noun,,Prs. sine,,,"October 7, 2020",,,,,,,
šāno,ʃɔ.no,,2,,shoulder,,noun,,Prs. šâne,,,"October 7, 2020",,,,,,,
assaxān,as.sa.xɔ̂n,M: [ässäχɔːn],3,,bone,,noun,,Prs. ostoxān,,,"October 9, 2020",,,,,,,
čeman,t͡ʃe.man,,2,,grass,,noun,,Prs. čaman,,,"October 9, 2020",,,,,,,
dāzo,dɔ.zo,M: [d̻ɔː.zo],2,,elder brother,,noun,,Skt. *dādda (CDIAL 6261),,,"October 9, 2020",,,,,,,
gazzi,gaz.zi,,2,,rope,,noun,,,,,"October 9, 2020",,,,,,,
gol,gol,,1,,flower,,noun,,Prs. gul,,,"October 9, 2020",,,,,,,
hiyo,hi.jo,M: [hio],2,,heart,,noun,,Skt. hŕ̥daya (CDIAL 14152),,,"October 9, 2020",,,,,,,
kelak,ke.lak,,2,,son,,noun,,,,,"October 9, 2020",,,,,,,
meo,me.o,,2,,fat,,noun,,Skt. mḗdas (CDIAl 10323),,,"October 9, 2020",,,,,,,
māz,mɔz,,1,,meat,,noun,,Skt. māṁsá (CDIAL 9982),,,"October 9, 2020",,,,,,,
neč,net͡ʃ,M: [ne̞t͡ʃ],1,,fingernail,,noun,,Larestani neč,,,"October 9, 2020",,,,,,,
āno,ɔ.no,,2,,egg,,noun,,Skt. āṇḍá (CDIAL 1111),,,"October 9, 2020",,,,,,,
p(ʰ)en,pʰen,"A: [pʰẽ̞ː], M: [pẽ̞n ~ pehẽ̞n]",2,,younger sister,,noun,,Skt. bhaginī (CDIAL 9349),"Sd. bhiṇu, bhiṇa",,"October 9, 2020",,,,,,,
peter,pe.ter,,2,,boy,پسر,noun,,Skt. putrá (CDIAL 8265),,,"October 9, 2020",,,,,,,
pʰeč,pʰet͡ʃ,,1,,tail,,noun,,Skt. piccha (CDIAL 8151),,,"October 9, 2020",,,,,,,
peč,pet͡ʃ,M: [pe̞t͡ʃ],1,,tail,,noun,,Skt. piccha (CDIAL 8151),,,"October 9, 2020",,,,,,,
piko,pi.ko,,2,,horn,,noun,,,,,"October 9, 2020",,,,,,,
rat,rat,M: [räːt̻],1,,blood,,noun,,Skt. rakta (CDIAL 10539),,,"October 9, 2020",,,,,,,
šorko,ʃor.ko,,2,,son,,noun,,Skt. *chōkara (CDIAL 5070),,,"October 9, 2020",,,,,,,
sāvāyi,sɔ.vɔ.i,,3,,grass,,noun,,"Native sāo ""green"" + ?",,,"October 9, 2020",,,,,,,
šurki,ʃur.ki,,2,,daughter,,noun,"<pl> šurkiyu, <pl.obl> šurkiyen",Skt. *chōkara (CDIAL 5070),,,"October 9, 2020",,,,,,,
tʰiv,tʰiʋ,,1,,girl,دختر,noun,,Skt. duhitŕ̥ (CDIAL 6481),,,"October 9, 2020",,,,,,,
xal,xal,"A: [χal.lᵊ], M: [χäːl]",1,,"skin, bark (of a tree)",,noun,,Skt. khalla (CDIAL 3848),Sd. khala,,"October 9, 2020",,,,,,,
dand digenen,dand di.ge.nen,,4,,to bite,گاز زدن,verb,,Native dand + digenen,,,"October 10, 2020",,,,,,,
fut karen,fut ka.ren,,3,,to breathe,نفس کشیدن,verb,,"Prs. fūt ""blowing""",,,"October 10, 2020",,,,,,,
H.HL*,mak.ken,,2,,to suck,مکیدن,verb,,Prs. makidan,,,"October 10, 2020",,,,,,,
hite čʰiyen,hi.te t͡ʃʰi.jen,,4,,to vomit,بالا آوردن,verb,,Native,,,"October 10, 2020",,,,,,,
lāk karen,lɔk ka.ren,,3,,to bite,,verb,,,,,"October 10, 2020",,,,,,,
maren,ma.ren,,2,,to die,,verb,,Skt. máratē (CDIAL 9871),,,"October 10, 2020",,,,,,,
māren,mɔ.ren,,2,,to kill,,verb,,Skt. māráyati (CDIAL 10066),,,"October 10, 2020",,,,,,,
piyen,pi.jen,,2,,to drink,نوشیدن,verb,,Skt. píbati (CDIAL 8209),,,"October 10, 2020",,,,,,,
šēkār karen,ʃe.kɔr ka.ren,,4,,to hunt,,verb,,Prs. śekār kardan,,,"October 10, 2020",,,,,,,
to anen,to.ʔan.en,,3,,to vomit,بالا آوردن,verb,,"Native to ""out"" + anen ""to come""",,,"October 10, 2020",,,,,,,
xelen,xe.len,,2,,to laugh,خندیدن,verb,,Skt. *khiḍ (CDIAL 3882),,,"October 10, 2020",,,,,,,
xāyen,xɔ.jen,,2,,to eat,خوردن,verb,,Skt. khā́dati (CDIAL 3865),Sd. khāiṇu,,"October 10, 2020",,,,,,,
zendegi karen,zen.de.gi ka.ren,,5,,to live,,verb,,Prs. zendagi kardan,,,"October 10, 2020",,,,,,,
čʰiyen,"t͡ʃʰi.jen, t͡ʃʰi.hen",,4,,to hit,ضربه زدن,verb,,Skt. chidati (CDIAL 5041),,,"October 11, 2020",,,,,,,
garxen,gar.xen,,2,,to scratch,خراشیدن,verb,,,,,"October 11, 2020",,,,,,,
jodā karen,d͡ʒo.dɔ ka.ren,,4,,to split,جداسازی,verb,,Prs. jodā kardan,,,"October 11, 2020",,,,,,,
karčax čʰiyen,kar.t͡ʃax t͡ʃʰi.jen,,4,,to stab,چاقو زدن,verb,,Native,,,"October 11, 2020",,,,,,,
kolen,ko.len,,2,,to dig,حفر کردن,verb,,Skt. *kōḍḍ (CDIAL 3934)?,,,"October 11, 2020",,,,,,,
nāno,nɔ.no,,2,,grandfather,,noun,,Skt. *nānna (CDIAL 7059),,,"October 11, 2020",,,,,,,
parvāz karen,par.ʋɔz ka.ren,,4,,to fly,برای پرواز,verb,,Prs. parvāz kardan,,,"October 11, 2020",,,,,,,
semen,se.men,,2,,to sleep,خوابیدن,verb,,Skt. svapnāyatē (CDIAL 13905),"Sd. sumhaṇu, Luwati summetu",,"October 11, 2020",,,,,,,
šnāv karen,ʔʃnɔʋ ka.ren,,3,,to swim,شنا کردن,verb,,Prs. šenā kardan,,Anonby (šenow kai),"October 11, 2020",,,,,,,
tur kadden,tur kad.den,,3,,to lie down,به دراز کشیدن,verb,,,,,"October 11, 2020",,,,,,,
ačen,a.t͡ʃen,,2,,to come,آمدن,verb,,Skt. átyēti (CDIAL 227),Sd. acaṇu,,"October 12, 2020",,,,,,,
